"Qty;""Value"";""Device"";""Package"";""Parts"";""Description"";""FINISH"";""LOCKING"";""MANUFACTURER"";""MANUFACTURER_PN"";""MAX_CURRENT"";""MOUNT_ANGLE"";""MOUNT_TYPE"";""POSITIONS"";""POWER"";""PROD_ID"";""TEMP_COEFF"";""TOLERANCE"";""TP_SIGNAL_NAME"";""VALUE"";""VENDOR"";""VENDOR_PN"";""VOLTAGE"";""_EXTERNAL_"";",,,,,,,,,,,,,,,,,,,,,
"1;""0.0"";""RES_0R0_0805"";""R0805"";""R7"";""Chip Resistor"";"""";"""";""Panasonic"";""ERJ-6GEY0R00V"";"""";"""";"""";"""";""1/8W"";"""";"""";""Jumper"";"""";""0.0"";""Digi-key"";""P0.0ACT-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""0.01uF"";""CAP_10NF0_0805"";""C0805"";""C5"";""Chip Capacitor"";"""";"""";""Murata"";""GRM216R71H103JA01D"";"""";"""";"""";"""";"""";"""";""X7R"";""5%"";"""";""0.01uF"";""Digi-key"";""490-9742-1-ND"";""50V"";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""0.1uF"";""CAP_100NF0_0805"";""C0805"";""C2"";""Chip Capacitor"";"""";"""";""Murata"";""GRM219R71C104KA01D"";"""";"""";"""";"""";"""";"""";""X7R"";""10%"";"""";""0.1uF"";""Digi-key"";""490-1683-1-ND"";""16V"";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""100k"";""RES_100R0_0805"";""R0805"";""R2"";""Chip Resistor"";"""";"""";""Panasonic"";""ERJ-P06F1003V"";"""";"""";"""";"""";""1/2W"";"""";"""";""1%"";"""";""100k"";""Digi-key"";""P16060CT-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""105dB Buzzer"";""BOM_LINE_ITEM_BLI3"";""BLANK"";""BOM38"";"""";"""";"""";""PUI Audio"";""AI-3135-TF-LW100-R"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""105dB Buzzer"";""Digi-key"";""668-1350-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""10uF"";""CAP_10UF0_0805"";""C0805"";""C4"";""Chip Capacitor"";"""";"""";""Murata"";""GRM21BC81C106KA73L"";"""";"""";"""";"""";"""";"""";""X6S"";""10%"";"""";""10uF"";""Digi-key"";""490-5519-1-ND"";""16V"";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""1k"";""RES_1K0_0805"";""R0805"";""R1"";""Chip Resistor"";"""";"""";""Panasonic"";""ERJ-P06J102V"";"""";"""";"""";"""";""1/2W"";"""";"""";""5%"";"""";""1k"";""Digi-key"";""P1.0KADCT-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"2;""1uF"";""CAP_1UF0_0805"";""C0805"";""C1"," C3"";""Chip Capacitor"";"""";"""";""Murata"";""GRM21BR71C105KA01L"";"""";"""";"""";"""";"""";"""";""X7R"";""10%"";"""";""1uF"";""Digi-key"";""490-1691-1-ND"";""16V"";"""";",,,,,,,,,,,,,,,,,,,,
"3;""200"";""RES_200R0_0805"";""R0805"";""R4", R5," R6"";""Chip Resistor"";"""";"""";""Panasonic"";""ERJ-P06F2000V"";"""";"""";"""";"""";""1/2W"";"""";"""";""1%"";"""";""200"";""Digi-key"";""P16064CT-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,
"1;""3.3uF"";""CAP_3UF3_0805"";""C0805"";""C6"";""Chip Capacitor"";"""";"""";""Murata"";""GRM21BR71E335KA73L"";"""";"""";"""";"""";"""";"""";""X7R"";""10%"";"""";""3.3uF"";""Digi-key"";""490-6486-1-ND"";""25V"";"""";",,,,,,,,,,,,,,,,,,,,,
