Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
http://cdn.lairdtech.com/home/brandworld/files/MGV06034R7M-10.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MGV0602_Series.jpg,240-2903-1-ND,MGV06034R7M-10,Laird-Signal Integrity Products,FIXED IND 4.7UH 5.5A 40 MOHM SMD,3019,0,"0.89000","0","1","Cut Tape (CT)","MGV","Active","Wirewound","-","4.7µH","±20%","5.5A","10A","Shielded","40 mOhm Max","-","-","-","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.287"" L x 0.264"" W (7.30mm x 6.70mm)","0.130"" (3.30mm)"
http://cdn.lairdtech.com/home/brandworld/files/MGV06054R7M-10.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MGV0605_Series.jpg,240-2913-1-ND,MGV06054R7M-10,Laird-Signal Integrity Products,FIXED IND 4.7UH 6.5A 30.3 MOHM,156,0,"0.92000","0","1","Cut Tape (CT)","MGV","Active","Wirewound","-","4.7µH","±20%","6.5A","7A","Shielded","30.3 mOhm Max","-","-","-","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.287"" L x 0.264"" W (7.30mm x 6.70mm)","0.209"" (5.30mm)"
http://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundferritetypeforpl/m_dem8045c.ashx,//media.digikey.com/Photos/Murata%20Photos/MFG_12xxAS-H.JPG,490-10791-1-ND,1217AS-H-4R7N=P3,Murata Electronics North America,FIXED IND 4.7UH 6.3A 18 MOHM SMD,690,0,"1.01000","0","1","Cut Tape (CT)","DEM8045C","Active","Wirewound","Ferrite","4.7µH","±30%","6.3A","6.7A","Shielded","18 mOhm Max","-","-","-","-","100kHz","Surface Mount","2-SMD","0.315"" L x 0.315"" W (8.00mm x 8.00mm)","0.177"" (4.50mm)"
"//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/DEMO80(30,40,45)C%20Type.pdf",//media.digikey.com/Photos/Murata%20Photos/MFG_12xxAS-H.JPG,490-10799-1-ND,1248AS-H-4R7N=P3,Murata Electronics North America,FIXED IND 4.7UH 5.3A 22.8 MOHM,689,0,"1.01000","0","1","Cut Tape (CT)","DEM8040C","Active","Wirewound","Ferrite","4.7µH","±30%","5.3A","6.2A","Shielded","22.8 mOhm Max","-","-","-","-","100kHz","Surface Mount","2-SMD","0.315"" L x 0.315"" W (8.00mm x 8.00mm)","0.157"" (4.00mm)"
http://psearch.en.murata.com/inductor/product/FDSD0630-H-100M%23.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_FDSD0630.JPG,490-10882-1-ND,FDSD0630-H-4R7M=P3,Murata Electronics North America,FIXED IND 4.7UH 4.7A 40 MOHM SMD,640,0,"1.01000","0","1","Cut Tape (CT)","FDSD0630","Active","Wirewound","Metal","4.7µH","±20%","4.7A","7.6A","Shielded","40 mOhm Max","-","-","-","-","100kHz","Surface Mount","Nonstandard","0.276"" L x 0.260"" W (7.00mm x 6.60mm)","0.118"" (3.00mm)"
http://www.toko.co.jp/products/pdf/inductors/dem8045c_dd.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_12xxAS-H.JPG,490-13198-1-ND,DD1217AS-H-4R7N=P3,Murata Electronics North America,FIXED IND 4.7UH 6.3A 18 MOHM,634,0,"1.01000","0","1","Cut Tape (CT)","DEM8045C","Active","Wirewound","Ferrite","4.7µH","±30%","6.3A","9A","Shielded","18 mOhm Max","-","-","-","-","100kHz","Surface Mount","Nonstandard","0.315"" L x 0.315"" W (8.00mm x 8.00mm)","0.177"" (4.50mm)"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-10282-hcma0703.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/MFG_HCMA0703-SERIES.jpg,283-4537-1-ND,HCMA0703-4R7-R,Eaton,FIXED IND 4.7UH 5.5A 40 MOHM SMD,18,0,"1.02000","0","1","Cut Tape (CT)","HCMA0703","Active","Wirewound","Powdered Iron","4.7µH","±20%","5.5A","10A","Shielded","40 mOhm Max","-","-","-","-55°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.280"" L x 0.268"" W (7.10mm x 6.80mm)","0.118"" (3.00mm)"
http://productfinder.pulseeng.com/products/datasheets/P767.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PA4340NLT-SERIES.jpg,553-2990-1-ND,PA4340.472NLT,Pulse Electronics Corporation,FIXED IND 4.7UH 4.6A 53 MOHM SMD,1745,0,"1.04000","0","1","Cut Tape (CT)","PA4340NLT","Active","Molded","-","4.7µH","±20%","4.6A","6A","Shielded","53 mOhm Max","-","-","AEC-Q200","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.236"" L x 0.213"" W (6.00mm x 5.40mm)","0.118"" (3.00mm)"
http://productfinder.pulseeng.com/products/datasheets/P768.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PA4341NLT-SERIES.jpg,553-2995-1-ND,PA4341.472NLT,Pulse Electronics Corporation,FIXED IND 4.7UH 5.5A 40 MOHM SMD,319,0,"1.04000","0","1","Cut Tape (CT)","PA4341NLT","Active","Molded","-","4.7µH","±20%","5.5A","10A","Shielded","40 mOhm Max","-","-","AEC-Q200","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.299"" L x 0.272"" W (7.60mm x 6.90mm)","0.118"" (3.00mm)"
http://www.abracon.com/Magnetics/power/ASPI7318.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ASPI-7318.jpg,ASPI-7318-4R7M-TCT-ND,ASPI-7318-4R7M-T,Abracon LLC,FIXED IND 4.7UH 5A 40 MOHM SMD,3832,0,"1.10000","0","1","Cut Tape (CT)","ASPI-7318","Active","Wirewound","Ferrite","4.7µH","±20%","5A","8A","Shielded","40 mOhm Max","-","-","-","-55°C ~ 125°C","200kHz","Surface Mount","Nonstandard","0.287"" L x 0.268"" W (7.30mm x 6.80mm)","0.118"" (3.00mm)"
