Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825232&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1825232-1.JPG,A107673-ND,1825232-1,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 200MA 30V,1267,0,"0.28000","0","1","Bulk","-","Active","SPDT","Non-Shorting (BBM)","On-On","200mA (DC)","-","30V","Standard","3.00mm","Copper Alloy","Silver","Through Hole, Right Angle","PC Pin","-"
http://www.ckswitches.com/media/1428/os.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/os102011ma1qn1.JPG,CKN9559-ND,OS102011MA1QN1,C&K,SWITCH SLIDE SPDT 100MA 12V,16672,0,"0.36000","0","1","Bulk","OS","Active","SPDT","Non-Shorting (BBM)","On-On","100mA (DC)","-","12V","Standard","4.00mm","Copper Alloy","Silver","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1428/os.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/OS102011MA1QS1.JPG,CKN9560-ND,OS102011MA1QS1,C&K,SWITCH SLIDE SPDT 100MA 12V,2937,0,"0.39000","0","1","Bulk","OS","Active","SPDT","Shorting (MBB)","On-On","100mA (DC)","-","12V","Standard","4.00mm","Copper Alloy","Silver","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1428/os.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/MFG_OS102011MS2QN1.jpg,CKN9565-ND,OS102011MS2QN1,C&K,SWITCH SLIDE SPDT 100MA 12V,16728,0,"0.41000","0","1","Bulk","OS","Active","SPDT","Non-Shorting (BBM)","On-On","100mA (DC)","-","12V","Standard","4.00mm","Copper Alloy","Silver","Through Hole","PC Pin","Epoxy Sealed Terminals"
//media.digikey.com/pdf/Data%20Sheets/C&K/SS-12D07-VG_GA_PA.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/SS-12D07-VG%204%20NS%20GA%20PA.JPG,CKN10397-ND,SS-12D07-VG 4 NS GA PA,C&K,SWITCH SLIDE SPDT 300MA 30V,29688,0,"0.51000","0","1","Bulk","SS, COMAX","Active","SPDT","Non-Shorting (BBM)","On-On","300mA (DC)","-","30V","Standard","4.00mm","-","Silver","Through Hole","PC Pin","-"
http://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/JS102011SAQN.jpg,401-1999-1-ND,JS102011SAQN,C&K,SWITCH SLIDE SPDT 300MA 6V,73561,0,"0.53000","0","1","Cut Tape (CT)","JS","Active","SPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount, Right Angle","Gull Wing","-"
http://www.apem.com/files/apem/brochures/MHSS_MICRO_SLIDE.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/mhss1105.JPG,679-1849-ND,MHSS1105,Apem Inc.,SWITCH SLIDE SPDT 300MA 6V,9988,6000,"0.54000","0","1","Bulk","MHSS","Active","SPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","-","Silver","Through Hole, Right Angle","PC Pin","Black Actuator"
http://www.apem.com/files/apem/brochures/MHSS_MICRO_SLIDE.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/mhss1104.JPG,679-1848-ND,MHSS1104,Apem Inc.,SWITCH SLIDE SPDT 300MA 6V,2992,10000,"0.54000","0","1","Bulk","MHSS","Active","SPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","-","Silver","Through Hole","PC Pin","Black Actuator"
http://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/JS102011JAQN.JPG,CKN10720CT-ND,JS102011JAQN,C&K,SWITCH SLIDE SPDT 300MA 6V,1917,0,"0.55000","0","1","Cut Tape (CT)","JS","Active","SPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount, Right Angle","J Lead","-"
http://www.nidec-copal-electronics.com/e/catalog/switch/css.pdf,//media.digikey.com/photos/Copal%20Photos/CSS-1210MC.jpg,563-1090-ND,CSS-1210MC,Copal Electronics Inc.,SWITCH SLIDE SPDT 100MA 12V,2279,159,"0.56000","0","1","Tube","CSS","Active","SPDT","Non-Shorting (BBM)","On-On","100mA (DC)","-","12V","Standard","2.00mm","Copper Alloy","Gold","Through Hole, Right Angle","PC Pin","-"
