"Qty"	"Value"	"Device"	"Package"	"Parts"	"Description"	"DATASHEET"	"FINISH"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"OUTPUT_BITS"	"POSITIONS"	"POWER"	"PRESSURE_TYPE"	"RATED_CURRENT"	"RESOLUTION"	"TEMP_COEFF"	"TOLERANCE"	"TP_SIGNAL_NAME"	"VALUE"	"VENDOR"	"VENDOR_PN"	"VOLTAGE"	"_EXTERNAL_"
"1"	"SL 70066 4PIN HOUSING"	"BOM_LINE_ITEM_BLI4"	"BLANK"	"BOM1"	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf"	""	""	""	"Molex"	"0050579404"	""	""	""	""	""	""	""	""	""	""	""	""	"SL 70066 4PIN HOUSING"	"Digi-key"	"WM2902-ND"	""	""
"4"	"SL 70058 GOLD CRIMP"	"BOM_LINE_ITEM_BLI6"	"BLANK"	"BOM2, BOM3, BOM4, BOM5"	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/016020087_sd.pdf"	""	""	""	"Molex"	"0016020087"	""	""	""	""	""	""	""	""	""	""	""	""	"SL 70058 GOLD CRIMP"	"Digi-key"	"WM2512CT-ND"	""	""
"1"	"1uF"	"CAP_1UF0_0603"	"C0603"	"C201"	"Chip Capacitor"	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	"Murata"	"GRM188R61E105KA12D"	""	""	""	""	""	""	""	""	""	"X5R"	"10%"	""	"1uF"	"Digi-key"	"490-3897-1-ND"	"25V"	""
"2"	"100nF"	"CAP_100NF0_0603"	"C0603"	"C202, C203"	"Chip Capacitor"	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	"Murata"	"GRM188R71C104KA01D"	""	""	""	""	""	""	""	""	""	"X7R"	"10%"	""	"100nF"	"Digi-key"	"490-1532-1-ND"	"16V"	""
"1"	"MOL-SL-4-RA"	"MOLSL_4PIN_SL4RA_RA"	"MOLSL-4-RA"	"J201"	"Molex SL Series 4-Position Connector"	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/705530001_sd.pdf"	"GOLD"	""	"YES"	"Molex"	"0705530003"	"3.0A"	"RIGHT"	"TH"	""	"4"	""	""	""	""	""	""	""	"MOL-SL-4-RA"	"Digi-key"	"WM4902-ND"	""	""
"1"	""	"SQUAD_LOGO"	"SQUAD_LOGO"	"LOGO201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	""	"CMS_LOGO"	"CMS_LOGO"	"LOGO202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"0.0"	"RES_0R0_0603"	"R0603"	"R1, R201, R202, R203, R204, R205, R206"	"Chip Resistor"	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AOA0000C281.pdf"	""	""	""	"Panasonic"	"ERJ-3GEY0R00V"	""	""	""	""	""	"1/10W"	""	"1.0A"	""	""	"Jmp"	""	"0.0"	"Digi-key"	"P0.0GCT-ND"	""	""
"3"	""	"TEST_POINT_SMT_15R_SMD"	"TP15R"	"TP201, TP202, TP203"	"Test Point (various sizes)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"PCT2075GVJ"	"PCT2075GV_TSOP6"	"TSOP95P080X055-6N"	"U201"	"I2C-bus Fm+, 1 degree C accuracy, digital temperature sensor and thermal watchdog"	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/PCT2075.pdf"	""	"I2C"	""	"NXP"	"PCT2075GVJ"	""	""	""	""	""	""	""	""	"10b"	""	""	""	"PCT2075GVJ"	"Digi-key"	"568-12424-1-ND"	""	""
"1"	"MS560702BA03-50"	"MS5607-02BA03_8SMD"	"SMD125P110X060-8N"	"U202"	"Barometric Pressure Sensor, with stainless steel cap"	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/ENG_DS_MS5607-02BA03_B.pdf"	""	"I2C,SPI"	""	"TE Connectivity"	"MS560702BA03-50"	""	""	""	"24b"	""	""	"Absolute"	""	""	""	""	""	"MS560702BA03-50"	"Digi-key"	"223-1198-1-ND"	""	""
