"Qty"	"Value"	"Device"	"Parts"	"BOM"	"CAP_REV_V"	"CURRENT_AVG_RECT"	"CURRENT_DC"	"CURRENT_REV_LEAK"	"CURRENT_SAT"	"DCR_MAX"	"ESR"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"IMPEDANCE"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"MPN"	"OC_FARNELL"	"OC_NEWARK"	"OUTPUT_ACTIVE"	"OUTPUT_ACTIVE_TIME"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PACKAGE"	"PITCH"	"POSITIONS"	"POWER"	"PRESSURE_TYPE"	"RESOLUTION"	"ROWS"	"SHIELDED"	"STARTUP_DELAY"	"TEMP_COEFF"	"TIMEOUT"	"TOLERANCE"	"TP_SIGNAL_NAME"	"TYPE"	"VALUE"	"VENDOR"	"VENDOR_PN"	"VOLTAGE"	"VOLTAGE_DC_REV"	"VOLTAGE_FWD"
"3"	"1uF"	"CAP_1UF0_0603"	"C401, C606, C610"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R61C105KA93D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"10%"	""	""	"1uF"	"Digi-Key"	"490-1536-1-ND"	"16V"	""	""
"2"	"10uF"	"CAP_10UF0_0805"	"C402, C403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata Electronics North America"	"GRM21BR61C106KE15L"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"10%"	""	""	"10uF"	"Digi-Key"	"490-3886-1-ND"	"16V"	""	""
"2"	"10nF"	"CAP_10NF0_0805"	"C404, C701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Kemet"	"C0805C103K5RACTU"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	"10%"	""	""	"10nF"	"Digi-Key"	"399-1158-1-ND"	"50V"	""	""
"11"	"100nF"	"CAP_100NF0_0805"	"C405, C502, C504, C603, C604, C1001, C1002, C1003, C1004, C1005, C1006"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVX Corporation"	"08053C104KAT2A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	"10%"	""	""	"100nF"	"Digi-Key"	"478-3755-1-ND"	"25V"	""	""
"1"	"4.7uF"	"CAP_4UF7_0603"	"C406"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R60J475KE19D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"10%"	""	""	"4.7uF"	"Digi-key"	"490-3297-1-ND"	"6.3V"	""	""
"5"	"100nF"	"CAP_100NF0_0603"	"C407, C702, C901, C902, C903"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R71C104KA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	"10%"	""	""	"100nF"	"Digi-key"	"490-1532-1-ND"	"16V"	""	""
"7"	"22uF"	"CAP_22UF0_1206"	"C408, C409, C602, C605, C607, C608, C609"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata Electronics North America"	"GRM31CR61A226ME19L"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"20%"	""	""	"22uF"	"Digi-Key"	"490-4738-1-ND"	"10V"	""	""
"1"	"8.2 uF"	"CAP_POL_8UF2_1411"	"C501"	""	""	""	""	""	""	""	"100 mOhm"	""	""	""	""	""	""	"Panasonic"	"20TQC8R2M"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20%"	""	""	"8.2 uF"	"Digi-Key"	"P16504CT-ND"	"20V"	""	""
"1"	"2.4nF"	"CAP_2NF4_0603"	"C503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM1885C1H242JA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"C0G, NP0"	""	"5%"	""	""	"2.4nF"	"Digi-Key"	"490-3282-1-ND"	"50V"	""	""
"1"	"620pF"	"CAP_620PF0_0805"	"C505"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Samsung Electro-Mechanics America, Inc."	"CL21C621JBCNNNC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"C0G, NP0"	""	"5%"	""	""	"620pF"	"Digi-Key"	"1276-2677-1-ND"	"50V"	""	""
"1"	"4.7uF"	"CAP_4UF7_0805"	"C506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM21BR61E475MA12L"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"20%"	""	""	"4.7uF"	"Digi-Key"	"490-5422-1-ND"	"25V"	""	""
"1"	"47uF"	"CAP_POL_47UF0_2917"	"C507"	""	""	""	""	""	""	""	"30mOhm"	""	""	""	""	""	""	"KEMET"	"T521X476M035ATE030"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20%"	""	""	"47uF"	"Digi-Key"	"399-5937-1-ND"	"35V"	""	""
"1"	"22uF"	"CAP_22UF0_1210"	"C601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM32ER61E226KE15L"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"10%"	""	""	"22uF"	"Digi-key"	"490-3889-1-ND"	"25V"	""	""
"1"	"CDBA340-HF"	"DIODE-SCHOTTKY_DO-214AC"	"D501"	""	"200pF @4V, 1MHz"	"3A"	""	"500uA @40V"	""	""	""	""	""	""	""	""	""	"Comchip"	"CDBA340-HF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CDBA340-HF"	"Digi-key"	"641-1748-1-ND"	""	"40V"	"500mV @3A"
"2"	"BLM15HD102SN1D"	"FERRITE_BEAD-0402"	"FB701, FB702"	""	""	""	""	""	""	"1.25 Ohm"	""	""	""	""	"1kOhm @100MHz"	""	""	"Murata"	"BLM15HD102SN1D"	"250mA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"BLM15HD102SN1D"	"Digi-Key"	"490-4003-1-ND"	""	""	""
"4"	"MOUNT-HOLE_2.75"	"MOUNT-HOLE_2.75"	"H1201, H1202, H1203, H1204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"SQUAD_LOGO"	"SQUAD_LOGO"	"IMAGE101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"WRL-00593"	"SMA_EDGE"	"J701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sparkfun"	"WRL-00593"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WRL-00593"	"Sparkfun"	"WRL-00593"	""	""	""
"4"	"PRT-12639"	"PRT-12639"	"J801, J802, J803, J804"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sparkfun"	"PRT-12639"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRT-12639"	"SPARKFUN"	"PRT-12639"	""	""	""
"6"	"MOL-SL-3-RA"	"MOLSL_3PIN_SL3RA_RA"	"J1201, J1203, J1204, J1205, J1206, J1211"	""	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	"YES"	"Molex"	"0705530002"	"3.0A"	"RIGHT"	"TH"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	"MOL-SL-3-RA"	"Digi-key"	"WM4901-ND"	""	""	""
