"Qty";"Value";"Device";"Package";"Parts";"Description";"CONTACTS";"CURRENT_RATING";"DATASHEET";"DC_RESTISTANCE";"FINISH";"FORWARD_CURRENT";"FORWARD_VOLTAGE";"FREQUENCY";"INTERFACE";"IOUT";"LOAD_CAP";"LOCKING";"MANUFACTURER";"MANUFACTURER_PN";"MAX_CURRENT";"MOUNT_ANGLE";"MOUNT_TYPE";"OC_FARNELL";"OC_NEWARK";"OUTPUT_BITS";"PACKAGE";"POSITIONS";"POWER";"PRESSURE_TYPE";"PROD_ID";"REFDES";"RESOLUTION";"TEMP_COEFF";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";"VENDOR_PN";"VIN";"VOLTAGE";"VOUT";
"44";"";"TEST_POINT_TP10R_SMD_10R_SMD";"TP10R";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44";"Test Point (various sizes)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18";"0";"RES_0R0_0603";"R0603";"R1, R2, R9, R10, R11, R12, R13, R14, R15, R20, R23, R24, R29, R44, R45, R46, R47, R48";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3GEY0R00V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"JUMPER";"";"";"0";"Digi-key";"P0.0GCT-ND";"";"";"";
"1";"1-Cell 2500mAh Li-Ion Battery";"BOM_LINE_ITEM_BLI11";"BLANK";"BOM63";"";"";"";"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/battery/785060-2500mAh_specification_sheet.pdf";"";"";"";"";"";"";"";"";"";"Adafruit";"328";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1-Cell 2500mAh Li-Ion Battery";"Adafruit";"328";"";"";"";
"3";"10000pF";"CAP_10000PF0_0603";"C0603";"C32, C33, C34";"Chip Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"AVX Corporation";"06035C103KAT4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"X7R";"±10%";"";"";"10000pF";"Digi-key";"478-10055-1-ND";"";"50V";"";
"2";"1000pF";"CAP_1000PF0_0603";"C0603";"C15, C16";"Chip Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"Murata";"GRM188R71H102KA01D";"";"";"";"";"";"";"";"";"";"";"";"";"";"X7R";"10%";"";"";"1000pF";"Digi-key";"490-1494-1-ND";"";"50V";"";
"1";"100k";"RES_100R0_0603";"R0603";"R17";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF1003V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"100k";"Digi-key";"P100KHCT-ND";"";"";"";
"17";"100nF";"CAP_100NF0_0603";"C0603";"C1, C2, C3, C4, C6, C7, C8, C9, C17, C18, C20, C26, C27, C29, C30, C31, C36";"Chip Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"Murata";"GRM188R71C104KA01D";"";"";"";"";"";"";"";"";"";"";"";"";"";"X7R";"10%";"";"";"100nF";"Digi-key";"490-1532-1-ND";"";"16V";"";
"1";"10k";"RES_10R0_0603";"R0603";"R37";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF1002V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"10k";"Digi-key";"P10.0KHCT-ND";"";"";"";
"5";"10uF";"CAP_10UF0_0603";"C0603";"C5, C10, C25, C28, C35";"Chip Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"Murata";"GRM188R61A106KE69D";"";"";"";"";"";"";"";"";"";"";"";"";"";"X5R";"10%";"";"";"10uF";"Digi-key";"490-10474-1-ND";"";"10V";"";
"1";"12k";"RES_12R0_0603";"R0603";"R34";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF1202V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"12k";"Digi-key";"P12.0KHCT-ND";"";"";"";
"2";"15k";"RES_15R0_0603";"R0603";"R38, R39";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF1502V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"15k";"Digi-key";"P15.0KHCT-ND";"";"";"";
"1";"1k";"RES_1R0_0603";"R0603";"R25";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF1001V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"1k";"Digi-key";"P1.00KHCT-ND";"";"";"";
"4";"1uF";"CAP_1UF0_0603";"C0603";"C19, C23, C24, C37";"Chip Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"Murata";"GRM033R61A105ME15D";"";"";"";"";"";"";"";"";"";"";"";"";"";"X5R";"20%";"";"";"1uF";"Digi-key";"490-13226-1-ND";"";"10V";"";
"1";"1uH";"IND_1UH0_0805";"WE-PMI_0805";"L1";"Power Multilayer Inductor";"";"800mA";"";"238mOhm";"";"";"";"";"";"";"";"";"Murata";"LQM21PN1R0MC0D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20%";"";"";"1uH";"Digi-key";"490-4992-1-ND";"";"";"";
"1";"2.2uF";"CAP_2UF2_0603";"C0603";"C21";"Chip Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"Murata";"GRM188R61C225KE15D";"";"";"";"";"";"";"";"";"";"";"";"";"";"X5R";"10%";"";"";"2.2uF";"Digi-key";"490-3296-1-ND";"";"16V";"";
"4";"2.61k";"RES_2R61_0603";"R0603";"R4, R5, R6, R7";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF2611V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"2.61k";"Digi-key";"P2.61KHCT-ND";"";"";"";
"4";"22pF";"CAP_22PF0_0603";"C0603";"C11, C12, C13, C14";"Chip Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"Murata";"GQM1885C1H220JB01D";"";"";"";"";"";"";"";"";"";"";"";"";"";"C0G";"5%";"";"";"22pF";"Digi-Key";"490-3575-1-ND";"";"50V";"";
"20";"23.2";"RES_0R23S2_0603";"R0603";"R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF23R2V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"23.2";"Digi-key";"P23.2HCT-ND";"";"";"";
"7";"2k";"RES_2R0_0603";"R0603";"R18, R19, R21, R26, R27, R42, R43";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF2001V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"2k";"Digi-key";"P2.00KHCT-ND";"";"";"";
"2";"30k";"RES_30R0_0603";"R0603";"R40, R41";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ-3EKF3002V";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"30k";"Digi-key";"P30.0KHCT-ND";"";"";"";
"2";"32.768kHz";"CRYSTAL3.2X1.5MM";"CRYSTAL-SMD-3.2X1.5MM";"Y1, Y3";"Various standard crystals. Proven footprints.";"";"";"";"";"";"";"";"32.768kHz";"";"";"12.5pF";"";"Epson";"FC-135R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20ppm";"";"";"";"Digi-key";"SER4071CT-ND";"";"";"";
"1";"4";"RES_4R0_0603";"R0603";"R22";"Chip Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"Yageo";"RL0603FR-070R4L ";"";"";"";"";"";"";"";"";"1/10W";"";"";"";"";"";"1%";"";"";"4";"Digi-key";"311-.4QCT-ND";"";"";"";
