"Qty"	"Value"	"Device"	"Package"	"Parts"	"CONTACTS"	"CONTINUOUS_DRAIN_CURRENT"	"CURRENT_SAT"	"CURREN_DC"	"DCR_MAX"	"ELEMENTS"	"FET_TYPE"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"INPUT_TYPE"	"INTERFACE"	"INTERNAL_REF"	"LOCKING"	"LOGIC_TYPE"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MAX_DC_CURRENT"	"MAX_DC_VOLTAGE"	"MAX_OUTPUT_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PITCH"	"POSITIONS"	"POWER"	"POWER_MAX"	"PRESSURE_TYPE"	"RDS_ON_MAX"	"RESOLUTION"	"ROWS"	"SAMPLE_RATE"	"SHIELDED"	"SHROUDED"	"TEMP_COEFF"	"TERMINALS"	"TOLERANCE"	"TP_SIGNAL_NAME"	"TYPE"	"VALUE"	"VDS"	"VENDOR"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"
"5"	"22uF"	"CAP_22UF0_0805"	"C0805"	"C1, C3, C4, C9, C10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM21BR61A226ME51L"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"20%"	""	""	"22uF"	""	"Digi-key"	"490-10511-1-ND"	""	"10V"
"9"	"100nF"	"CAP_100NF0_0603"	"C0603"	"C2, C5, C11, C12, C14, C15, C16, C17, C18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R71C104KA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	"10%"	""	""	"100nF"	""	"Digi-key"	"490-1532-1-ND"	""	"16V"
"1"	"2.2uF"	"CAP_2UF2_0603"	"C0603"	"C6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R61C225KE15D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"10%"	""	""	"2.2uF"	""	"Digi-key"	"490-3296-1-ND"	""	"16V"
"1"	"300pF"	"CAP_300PF0_0603"	"C0603"	"C7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM1885C1H301JA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"C0G"	""	"5%"	""	""	"300pF"	""	"Digi-key"	"490-1438-1-ND"	""	"50V"
"1"	"5.6nF"	"CAP_5NF6_0603"	"C0603"	"C8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R71H562KA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	"10%"	""	""	"5.6nF"	""	"Digi-key"	"490-1507-1-ND"	""	"50V"
"2"	"10uF"	"CAP_10UF0_0603"	"C0603"	"C13, C19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R61A106KE69D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	"10%"	""	""	"10uF"	""	"Digi-key"	"490-10474-1-ND"	""	"10V"
"1"	"GREEN"	"LED_G3V2WURTH_0603"	"LED0603"	"DS1"	""	""	""	""	""	""	""	""	"20mA"	"3.2V"	""	""	""	""	""	"Wurth"	"150060GS75000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GREEN"	""	"Digi-key"	"732-4971-1-ND"	""	""
"1"	"YELLOW"	"LED_Y2V0WURTH_0603"	"LED0603"	"DS2"	""	""	""	""	""	""	""	""	"20mA"	"2.0V"	""	""	""	""	""	"Wurth"	"150060YS75000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"YELLOW"	""	"Digi-key"	"732-4981-1-ND"	""	""
"2"	"BLUE"	"LED_B3V2WURTH_0603"	"LED0603"	"DS3, DS4"	""	""	""	""	""	""	""	""	"20mA"	"3.2V"	""	""	""	""	""	"Wurth"	"150060BS75000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"BLUE"	""	"Digi-key"	"732-4966-1-ND"	""	""
"4"	"MOUNT-HOLE_2.75"	"MOUNT-HOLE_2.75"	"2,75_HOLE_RASPI"	"H1, H2, H3, H4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"JST-PH-2TH-RA"	"JST-PH-2TH-RA_2TH-RA"	"JST-PH-2-THM-RA"	"J1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"JST"	"S2B-PH-K-S(LF)(SN)"	""	"2A"	"100V"	""	"RIGHT"	""	""	""	"2.0mm"	"2"	""	""	""	""	""	""	""	""	"YES"	""	""	""	""	""	"JST-PH-2TH-RA"	""	"Digi-key"	"455-1719-ND"	""	""
"1"	"USB_MICROB_RECPT"	"USB_B_MICRO_RIGHT"	"MICROUSB-RIGHT"	"J2"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Amphenol"	"10118193-0001LF"	""	""	""	""	"RIGHT"	"TH/SMD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"USB_MICROB_RECPT"	""	"Digi-key"	"609-4616-1-ND"	""	""
"1"	"HEADER-1x2-2.54MM"	"HEADER-1X2-254MM_1X2_254MM_TH"	"HEADER-1X2-254MM"	"J3"	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	"Sullins"	"PRPC002SAAN-RC"	"3.0A"	""	""	""	"VERTICAL"	"TH"	""	""	"2.54mm"	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"HEADER-1x2-2.54MM"	""	"Digi-key"	"S1011EC-02-ND"	""	""
"1"	"MOL-KK-2-V"	"MOLKK_2PIN2V_2V"	"MOLKK-2-V"	"J4"	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	""	"YES"	""	"Molex"	"0022112022"	"4.0A"	""	""	""	"VERTICAL"	"TH"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL-KK-2-V"	""	"Digi-key"	"WM2700-ND"	""	""
"1"	"RECEPTACLE-2x7-2.54MM"	"RECEPTICAL-2X7-254MM-PIZERO_2X7_254MM_TH"	"RECEPTACLE-2X7-254MM"	"J5"	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	"Sullins"	"PPPC072LFBN-RC"	"3.0A"	""	""	""	"VERTICAL"	"TH"	""	""	"2.54mm"	"14"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"RECEPTACLE-2x7-2.54MM"	""	"Digi-key"	"S7110-ND"	""	""
"1"	"MOL-KK-4-RA"	"MOLKK_4PIN_4RA_RA"	"MOLKK-4-RA"	"J6"	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	""	"YES"	""	"Molex"	"0022122044"	"4.0A"	""	""	""	"RIGHT"	"TH"	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL-KK-4-RA"	""	"Digi-key"	"WM2713-ND"	""	""
"1"	"MOL-KK-3P-V"	"MOLKK_3PIN_3V_V"	"MOLKK-3-V"	"J7"	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	""	"YES"	""	"Molex"	"0022112032"	"4.0A"	""	""	""	"VERTICAL"	"TH"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL-KK-3P-V"	""	"Digi-key"	"WM2701-ND"	""	""
"1"	"HEADER-1X5-2.54MM"	"HEADER-1X5-254MM_1X5_254MM_TH"	"HEADER-1X5-254MM"	"J8"	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	"Sullins"	"PRPC005SAAN-RC"	"3.0A"	""	""	""	"VERTICAL"	"TH"	""	""	"2.54MM"	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"HEADER-1X5-2.54MM"	""	"Digi-key"	"S1011EC-05-ND"	""	""
"1"	"4.7uH"	"L_4UH7_2SMD"	"SMD720P535X245-2N"	"L1"	""	""	"8.7A"	"8.0A"	"22.6mOHM"	""	""	""	""	""	""	""	""	""	""	"Vishay Dale"	"IHLP3232DZER4R7M11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes"	""	""	""	"20%"	""	"Molded"	"4.7uH"	""	"Digi-key"	"541-1353-1-ND"	""	""
"2"	"PMOS-ENHANCE-8A"	"PMOS-1G-1S-4D_PMOS-6P_TSOP-6"	"TSOP-6"	"Q1, Q2"	""	"8.0A"	""	""	""	""	"PMOS, ENHANCEMENT"	""	""	""	""	""	""	""	""	"Vishay"	"SI3421DV-T1-GE3"	""	""	""	""	""	""	""	""	""	""	""	"4.2W"	""	"19.2 mOhm @ 7A, 10V"	""	""	""	""	""	""	""	""	""	""	"PMOS-ENHANCE-8A"	"30.0V"	"Digi-key"	"SI3421DV-T1-GE3CT-ND"	"3.0V @ 250µA"	""
"1"	"0.05"	"RES_SNS_0RS050"	"RS1206"	"R1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Ohmite"	"LVK12R050DER"	""	""	""	""	""	""	""	""	""	""	"1/5W"	""	""	""	""	""	""	""	""	""	"4"	"0.5%"	""	""	"0.05"	""	"Digi-key"	"LVK12R050DERCT-ND"	""	""
"1"	"7.15k"	"RES_7R15_0603"	"R0603"	"R2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF7151V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"7.15k"	""	"Digi-key"	"P7.15KHCT-ND"	""	""
"1"	"412k"	"RES_412R0_0603"	"R0603"	"R3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF4123V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"412k"	""	"Digi-key"	"P412KHCT-ND"	""	""
"5"	"0"	"RES_0R0_0603"	"R0603"	"R4, R15, R17, R18, R21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3GEY0R00V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"JUMPER"	""	""	"0"	""	"Digi-key"	"P0.0GCT-ND"	""	""
"1"	"240k"	"RES_240R0_0603"	"R0603"	"R6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF2403V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"240k"	""	"Digi-key"	"P240KHCT-ND"	""	""
"1"	"76.8k"	"RES_76R8_0603"	"R0603"	"R7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF7682V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"76.8k"	""	"Digi-key"	"P76.8KHCT-ND"	""	""
"1"	"820k"	"RES_820R0_0603"	"R0603"	"R8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-PA3F8203V"	""	""	""	""	""	""	""	""	""	""	"1/4W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"820k"	""	"Digi-key"	"P820KBYCT-ND"	""	""
"2"	"49.9"	"RES_0R499_0603"	"R0603"	"R9, R27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF49R9V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"49.9"	""	"Digi-key"	"P49.9HCT-ND"	""	""
"4"	"2k"	"RES_2R0_0603"	"R0603"	"R10, R11, R23, R24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF2001V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"2k"	""	"Digi-key"	"P2.00KHCT-ND"	""	""
