"Qty"	"Value"	"Device"	"Package"	"Parts"	"Description"	"ACCURACY"	"ACTUATOR_HEIGHT"	"ACUTATOR_ORIENTATION"	"CIRCUIT"	"CLIPPING"	"COLOR"	"CONTACTS"	"CONTACT_RATING"	"CONTINUOUS_DRAIN_CURRENT"	"CURRENT_DC"	"CURRENT_RATING"	"CURRENT_SAT"	"DATASHEET"	"DCR_MAX"	"DC_COLD_RESISTANCE"	"DIAMETER"	"DRILL"	"FET_TYPE"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"FUNCTION"	"HEIGHT_BOTTOM"	"HEIGHT_TOP"	"INSULATED"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNTING_TYPE"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"OUTPUT_ACTIVE"	"OUTPUT_ACTIVE_TIME"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PITCH"	"PLATING"	"POSITIONS"	"POWER"	"POWER_MAX"	"PRESSURE_TYPE"	"RATED_CURRENT"	"RDS_ON_MAX"	"RESOLUTION"	"RESPONSE_TIME"	"ROWS"	"SHIELDED"	"SRF"	"STARTUP_DELAY"	"SWITCH_FUNCTION"	"TEMP_COEFF"	"TERMINALS"	"TIMEOUT"	"TOLERANCE"	"TP_SIGNAL_NAME"	"VALUE"	"VDS"	"VENDOR"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"	"VOLTAGE_RATING"	"_EXTERNAL_"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"	"VOLTAGE_RATING"	"_EXTERNAL_"
"3"	"SL 70066 2PIN HOUSING"	"BOM_LINE_ITEM_BLI2"	"BLANK"	"BOM701, BOM704, BOM707"	""	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Molex"	"50-57-9402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SL 70066 2PIN HOUSING"	""	"Digi-key"	"WM2900-ND"	""	""	""	""	""	""	""	""	""
"13"	"SL 70058 GOLD CRIMP"	"BOM_LINE_ITEM_BLI6"	"BLANK"	"BOM702, BOM703, BOM705, BOM706, BOM708, BOM709, BOM712, BOM713, BOM714, BOM715, BOM717, BOM718, BOM719"	""	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/016020087_sd.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Molex"	"0016020087"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SL 70058 GOLD CRIMP"	""	"Digi-key"	"WM2512CT-ND"	""	""	""	""	""	""	""	""	""
"1"	"HEADER-RECT-MALE-2X5"	"BOM_LINE_ITEM_BLI10"	"BLANK"	"BOM710"	""	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/raspi_header/M20-998.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Harwin"	"M20-9980545"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HEADER-RECT-MALE-2X5"	""	"Digi-key"	"952-2380-ND"	""	""	""	""	""	""	""	""	""
"1"	"SL 70066 4PIN HOUSING"	"BOM_LINE_ITEM_BLI4"	"BLANK"	"BOM711"	""	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Molex"	"0050579404"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SL 70066 4PIN HOUSING"	""	"Digi-key"	"WM2902-ND"	""	""	""	""	""	""	""	""	""
"1"	"SL 70066 3PIN HOUSING"	"BOM_LINE_ITEM_BLI3"	"BLANK"	"BOM716"	""	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Molex"	"50-57-9403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SL 70066 3PIN HOUSING"	""	"Digi-key"	"WM2901-ND"	""	""	""	""	""	""	""	""	""
"2"	"1-Wire Temperature Sensor"	"BOM_LINE_ITEM_BLI7"	"BLANK"	"BOM720, BOM721"	""	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/DS18B20.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Maxim"	"DS18B20+"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1-Wire Temperature Sensor"	""	"Digi-key"	"DS18B20+-ND"	""	""	""	""	""	""	""	""	""
"1"	"HEADER-RECT-MALE-2X3"	"BOM_LINE_ITEM_BLI1"	"BLANK"	"BOM722"	""	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/raspi_header/M20-998.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Harwin"	"M20-9980345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HEADER-RECT-MALE-2X3"	""	"Digi-key"	"952-2120-ND"	""	""	""	""	""	""	""	""	""
"5"	"10uF"	"CAP_10UF0_0805_0805"	"C0805"	"C301, C401, C406, C407, C408"	"Chip Capacitor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM21BR61C106KE15L"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	""	"10%"	""	"10uF"	""	"Digi-key"	"490-3886-1-ND"	""	"16V"	""	""	""	""	""	""	""
"12"	"100nF"	"CAP_100NF0_0603"	"C0603"	"C302, C501, C502, C506, C507, C508, C510, C511, C512, C513, C601, C602"	"Chip Capacitor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R71C104KA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	""	"10%"	""	"100nF"	""	"Digi-key"	"490-1532-1-ND"	""	"16V"	""	""	""	""	""	""	""
"1"	"22uF"	"CAP_22UF0_0805"	"C0805"	"C403"	"Chip Capacitor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM21BR61A226ME51L"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	""	"20%"	""	"22uF"	""	"Digi-key"	"490-10511-1-ND"	""	"10V"	""	""	""	""	""	""	""
"1"	"18nF"	"CAP_18NF0_0603"	"C0603"	"C405"	"Chip Capacitor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R71H183JA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	""	"5%"	""	"18nF"	""	"Digi-key"	"490-12544-1-ND"	""	"50V"	""	""	""	""	""	""	""
"1"	"10nF"	"CAP_10NF0_0603"	"C0603"	"C505"	"Chip Capacitor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murate"	"GRM188R71H103JA01D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X7R"	""	""	"5%"	""	"10nF"	""	"Digi-key"	"490-9734-1-ND"	""	"50V"	""	""	""	""	""	""	""
"1"	"10uF"	"CAP_10UF0_0603"	"C0603"	"C509"	"Chip Capacitor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/c02e.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Murata"	"GRM188R61A106KE69D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"X5R"	""	""	"10%"	""	"10uF"	""	"Digi-key"	"490-10474-1-ND"	""	"10V"	""	""	""	""	""	""	""
"4"	"YELLOW"	"LED_Y2V0WURTH_0603"	"LED0603"	"DS301, DS402, DS601, DS602"	"Chip LED"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/charger/150060YS75000.pdf"	""	""	""	""	""	""	"20mA"	"2.0V"	""	""	""	""	""	""	"Wurth"	"150060YS75000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"YELLOW"	""	"Digi-key"	"732-4981-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"GREEN"	"LED_G3V2WURTH_0603"	"LED0603"	"DS302"	"Chip LED"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/charger/150060GS75000.pdf"	""	""	""	""	""	""	"20mA"	"3.2V"	""	""	""	""	""	""	"Wurth"	"150060GS75000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GREEN"	""	"Digi-key"	"732-4971-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"BLUE"	"LED_B3V2WURTH_0603"	"LED0603"	"DS401"	"Chip LED"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/charger/150060BS75000.pdf"	""	""	""	""	""	""	"20mA"	"3.2V"	""	""	""	""	""	""	"Wurth"	"150060BS75000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"BLUE"	""	"Digi-key"	"732-4966-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"FUSE-50MA"	"FUSE_CHIP_0603"	"R0603"	"F601"	"FUSE"	""	""	""	""	""	""	""	""	""	""	"50mA"	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AccuGuardLC_0603.pdf"	""	"3.4OHM"	""	""	""	""	""	""	""	""	""	""	""	""	"AVX"	"F0603G0R05FNTR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAST"	""	""	""	""	""	""	""	""	""	""	"FUSE-50MA"	""	"Digi-key"	"478-6871-1-ND"	""	""	"32Vdc"	""	""	""	""	""	""
